Season,Team,Head Coach,Race,Result,Wins,Losses,Ties
1969,Denver Broncos,Lou Saban,White,Failed to make playoffs,5,8,1
1970,Denver Broncos,Lou Saban,White,Failed to make playoffs,5,8,1
1971,Denver Broncos,Lou Saban,White,Failed to make playoffs,4,9,1
1972,Denver Broncos,John Ralston,White,Failed to make playoffs,5,9,0
1973,Denver Broncos,John Ralston,White,Failed to make playoffs,7,5,2
1974,Denver Broncos,John Ralston,White,Failed to make playoffs,7,6,1
1975,Denver Broncos,John Ralston,White,Failed to make playoffs,6,8,0
1976,Denver Broncos,John Ralston,White,Failed to make playoffs,9,5,0
1980,Denver Broncos,Red Miller,White,Failed to make playoffs,8,8,0
1981,Denver Broncos,Dan Reeves,White,Failed to make playoffs,10,6,0
1982,Denver Broncos,Dan Reeves,White,Failed to make playoffs,2,7,0
1985,Denver Broncos,Dan Reeves,White,Failed to make playoffs,11,5,0
1988,Denver Broncos,Dan Reeves,White,Failed to make playoffs,8,8,0
1990,Denver Broncos,Dan Reeves,White,Failed to make playoffs,5,11,0
1992,Denver Broncos,Dan Reeves,White,Failed to make playoffs,8,8,0
1994,Denver Broncos,Wade Phillips,White,Failed to make playoffs,7,9,0
1995,Denver Broncos,Mike Shanahan,White,Failed to make playoffs,8,8,0
1999,Denver Broncos,Mike Shanahan,White,Failed to make playoffs,6,10,0
2001,Denver Broncos,Mike Shanahan,White,Failed to make playoffs,8,8,0
2002,Denver Broncos,Mike Shanahan,White,Failed to make playoffs,9,7,0
2006,Denver Broncos,Mike Shanahan,White,Failed to make playoffs,9,7,0
2007,Denver Broncos,Mike Shanahan,White,Failed to make playoffs,7,9,0
2008,Denver Broncos,Mike Shanahan,White,Failed to make playoffs,8,8,0
2009,Denver Broncos,Josh McDaniels,White,Failed to make playoffs,8,8,0
2010,Denver Broncos,Josh McDaniels/Eric Studesville,White,Failed to make playoffs,4,12,0
2016,Denver Broncos,Gary Kubiak,White,Failed to make playoffs,9,7,0
2017,Denver Broncos,Vance Joseph,Non-White,Failed to make playoffs,5,11,0
2018,Denver Broncos,Vance Joseph,Non-White,Failed to make playoffs,6,10,0
2019,Denver Broncos,Vic Fangio,White,Failed to make playoffs,7,9,0
1966,Detroit Lions,Harry Gilmer,White,Failed to make playoffs,4,9,1
1967,Detroit Lions,Joe Schmidt,White,Failed to make playoffs,5,7,2
1968,Detroit Lions,Joe Schmidt,White,Failed to make playoffs,4,8,2
1969,Detroit Lions,Joe Schmidt,White,Failed to make playoffs,9,4,1
1971,Detroit Lions,Joe Schmidt,White,Failed to make playoffs,7,6,1
1972,Detroit Lions,Joe Schmidt,White,Failed to make playoffs,8,5,1
1973,Detroit Lions,Don McCafferty,White,Failed to make playoffs,6,7,1
1974,Detroit Lions,Rick Forzano,White,Failed to make playoffs,7,7,0
1975,Detroit Lions,Rick Forzano,White,Failed to make playoffs,7,7,0
1976,Detroit Lions,Rick Forzano,White,Failed to make playoffs,6,8,0
1977,Detroit Lions,Tommy Hudspeth,White,Failed to make playoffs,6,8,0
1978,Detroit Lions,Monte Clark,White,Failed to make playoffs,7,9,0
1979,Detroit Lions,Monte Clark,White,Failed to make playoffs,2,14,0
1980,Detroit Lions,Monte Clark,White,Failed to make playoffs,9,7,0
1981,Detroit Lions,Monte Clark,White,Failed to make playoffs,8,8,0
1984,Detroit Lions,Monte Clark,White,Failed to make playoffs,4,11,1
1985,Detroit Lions,Darryl Rogers,White,Failed to make playoffs,7,9,0
1986,Detroit Lions,Darryl Rogers,White,Failed to make playoffs,5,11,0
1987,Detroit Lions,Darryl Rogers,White,Failed to make playoffs,4,11,0
1988,Detroit Lions,Wayne Fontes,White,Failed to make playoffs,4,12,0
1989,Detroit Lions,Wayne Fontes,White,Failed to make playoffs,7,9,0
1990,Detroit Lions,Wayne Fontes,White,Failed to make playoffs,6,10,0
1992,Detroit Lions,Wayne Fontes,White,Failed to make playoffs,5,11,0
1996,Detroit Lions,Wayne Fontes,White,Failed to make playoffs,5,11,0
1998,Detroit Lions,Bobby Ross,White,Failed to make playoffs,5,11,0
2000,Detroit Lions,Gary Moeller,White,Failed to make playoffs,9,7,0
2001,Detroit Lions,Marty Mornhinweg,White,Failed to make playoffs,2,14,0
2002,Detroit Lions,Marty Mornhinweg,White,Failed to make playoffs,3,13,0
2003,Detroit Lions,Steve Mariucci,White,Failed to make playoffs,5,11,0
2004,Detroit Lions,Steve Mariucci,White,Failed to make playoffs,6,10,0
2005,Detroit Lions,Dick Jauron,White,Failed to make playoffs,5,11,0
2006,Detroit Lions,Rod Marinelli,White,Failed to make playoffs,3,13,0
2007,Detroit Lions,Rod Marinelli,White,Failed to make playoffs,7,9,0
2008,Detroit Lions,Rod Marinelli,White,Failed to make playoffs,0,16,0
2009,Detroit Lions,Jim Schwartz,White,Failed to make playoffs,2,14,0
2010,Detroit Lions,Jim Schwartz,White,Failed to make playoffs,6,10,0
2012,Detroit Lions,Jim Schwartz,White,Failed to make playoffs,4,12,0
2013,Detroit Lions,Jim Schwartz,White,Failed to make playoffs,7,9,0
2015,Detroit Lions,Jim Caldwell,Non-White,Failed to make playoffs,7,9,0
2017,Detroit Lions,Jim Caldwell,Non-White,Failed to make playoffs,9,7,0
2018,Detroit Lions,Matt Patricia,White,Failed to make playoffs,6,10,0
2019,Detroit Lions,Matt Patricia,White,Failed to make playoffs,3,12,1
1968,Green Bay Packers,Phil Bengtson,White,Failed to make playoffs,6,7,1
1969,Green Bay Packers,Phil Bengtson,White,Failed to make playoffs,8,6,0
1970,Green Bay Packers,Phil Bengtson,White,Failed to make playoffs,6,8,0
1971,Green Bay Packers,Dan Devine,White,Failed to make playoffs,4,8,2
1973,Green Bay Packers,Dan Devine,White,Failed to make playoffs,5,7,2
1974,Green Bay Packers,Dan Devine,White,Failed to make playoffs,6,8,0
1975,Green Bay Packers,Bart Starr,White,Failed to make playoffs,4,10,0
1976,Green Bay Packers,Bart Starr,White,Failed to make playoffs,5,9,0
1977,Green Bay Packers,Bart Starr,White,Failed to make playoffs,4,10,0
1978,Green Bay Packers,Bart Starr,White,Failed to make playoffs,8,7,1
1979,Green Bay Packers,Bart Starr,White,Failed to make playoffs,5,11,0
1980,Green Bay Packers,Bart Starr,White,Failed to make playoffs,5,10,1
1981,Green Bay Packers,Bart Starr,White,Failed to make playoffs,8,8,0
1983,Green Bay Packers,Bart Starr,White,Failed to make playoffs,8,8,0
1984,Green Bay Packers,Forrest Gregg,White,Failed to make playoffs,8,8,0
1985,Green Bay Packers,Forrest Gregg,White,Failed to make playoffs,8,8,0
1986,Green Bay Packers,Forrest Gregg,White,Failed to make playoffs,4,12,0
1987,Green Bay Packers,Forrest Gregg,White,Failed to make playoffs,5,9,1
1988,Green Bay Packers,Lindy Infante,White,Failed to make playoffs,4,12,0
1989,Green Bay Packers,Lindy Infante,White,Failed to make playoffs,10,6,0
1990,Green Bay Packers,Lindy Infante,White,Failed to make playoffs,6,10,0
1991,Green Bay Packers,Lindy Infante,White,Failed to make playoffs,4,12,0
1992,Green Bay Packers,Mike Holmgren,White,Failed to make playoffs,9,7,0
1999,Green Bay Packers,Ray Rhodes,Non-White,Failed to make playoffs,8,8,0
2000,Green Bay Packers,Mike Sherman,White,Failed to make playoffs,9,7,0
2005,Green Bay Packers,Mike Sherman,White,Failed to make playoffs,4,12,0
2006,Green Bay Packers,Mike McCarthy,White,Failed to make playoffs,8,8,0
2008,Green Bay Packers,Mike McCarthy,White,Failed to make playoffs,6,10,0
2017,Green Bay Packers,Mike McCarthy,White,Failed to make playoffs,7,9,0
2018,Green Bay Packers,Joe Philbin,White,Failed to make playoffs,6,9,1
1966,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1967,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1968,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1969,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1970,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1971,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1972,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1973,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1974,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1975,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1976,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1977,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1978,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1979,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1980,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1981,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1982,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1983,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1984,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1985,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1986,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1987,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1988,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1989,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1990,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1991,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1992,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1993,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1994,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1995,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1996,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1997,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1998,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
1999,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
2000,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
2001,Houston Texans,NFL Coaches,White,Failed to make playoffs,,,
2002,Houston Texans,Dom Capers,White,Failed to make playoffs,4,12,0
2003,Houston Texans,Dom Capers,White,Failed to make playoffs,5,11,0
2004,Houston Texans,Dom Capers,White,Failed to make playoffs,7,9,0
2005,Houston Texans,Dom Capers,White,Failed to make playoffs,2,14,0
2006,Houston Texans,Gary Kubiak,White,Failed to make playoffs,6,10,0
2007,Houston Texans,Gary Kubiak,White,Failed to make playoffs,8,8,0
2008,Houston Texans,Gary Kubiak,White,Failed to make playoffs,8,8,0
2009,Houston Texans,Gary Kubiak,White,Failed to make playoffs,9,7,0
2010,Houston Texans,Gary Kubiak,White,Failed to make playoffs,6,10,0
2013,Houston Texans,Wade Phillips,White,Failed to make playoffs,2,14,0
2014,Houston Texans,Bill O'Brien,White,Failed to make playoffs,9,7,0
2017,Houston Texans,Bill O'Brien,White,Failed to make playoffs,4,12,0
1966,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1967,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1968,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1969,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1970,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1971,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1972,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1973,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1974,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1975,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1976,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1977,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1978,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1979,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1980,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1981,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1982,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1983,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1984,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1985,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1986,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1987,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1988,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1989,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1990,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1991,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1992,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1993,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1994,Jacksonville Jaguars,NFL Coaches,White,Failed to make playoffs,,,
1995,Jacksonville Jaguars,Tom Coughlin,White,Failed to make playoffs,4,12,0
2000,Jacksonville Jaguars,Tom Coughlin,White,Failed to make playoffs,7,9,0
2001,Jacksonville Jaguars,Tom Coughlin,White,Failed to make playoffs,6,10,0
2002,Jacksonville Jaguars,Tom Coughlin,White,Failed to make playoffs,6,10,0
2003,Jacksonville Jaguars,Jack Del Rio,White,Failed to make playoffs,5,11,0
2004,Jacksonville Jaguars,Jack Del Rio,White,Failed to make playoffs,9,7,0
2006,Jacksonville Jaguars,Jack Del Rio,White,Failed to make playoffs,8,8,0
2008,Jacksonville Jaguars,Jack Del Rio,White,Failed to make playoffs,5,11,0
2009,Jacksonville Jaguars,Jack Del Rio,White,Failed to make playoffs,7,9,0
2010,Jacksonville Jaguars,Jack Del Rio,White,Failed to make playoffs,8,8,0
2011,Jacksonville Jaguars,Mel Tucker,White,Failed to make playoffs,5,11,0
2012,Jacksonville Jaguars,Mike Mularkey,White,Failed to make playoffs,2,14,0
2013,Jacksonville Jaguars,Gus Bradley,White,Failed to make playoffs,4,12,0
2014,Jacksonville Jaguars,Gus Bradley,White,Failed to make playoffs,3,13,0
2015,Jacksonville Jaguars,Gus Bradley,White,Failed to make playoffs,5,11,0
2016,Jacksonville Jaguars,Doug Marrone,White,Failed to make playoffs,3,13,0
2018,Jacksonville Jaguars,Doug Marrone,White,Failed to make playoffs,5,11,0
2019,Jacksonville Jaguars,Doug Marrone,White,Failed to make playoffs,6,10,0
1967,Kansas City Chiefs,Hank Stram,White,Failed to make playoffs,9,5,0
1970,Kansas City Chiefs,Hank Stram,White,Failed to make playoffs,7,5,2
1972,Kansas City Chiefs,Hank Stram,White,Failed to make playoffs,8,6,0
1973,Kansas City Chiefs,Hank Stram,White,Failed to make playoffs,7,5,2
1974,Kansas City Chiefs,Hank Stram,White,Failed to make playoffs,5,9,0
1975,Kansas City Chiefs,Paul Wiggin,White,Failed to make playoffs,5,9,0
1976,Kansas City Chiefs,Paul Wiggin,White,Failed to make playoffs,5,9,0
1977,Kansas City Chiefs,Tom Bettis,White,Failed to make playoffs,2,12,0
1978,Kansas City Chiefs,Marv Levy,White,Failed to make playoffs,4,12,0
1979,Kansas City Chiefs,Marv Levy,White,Failed to make playoffs,7,9,0
1980,Kansas City Chiefs,Marv Levy,White,Failed to make playoffs,8,8,0
1981,Kansas City Chiefs,Marv Levy,White,Failed to make playoffs,9,7,0
1982,Kansas City Chiefs,Marv Levy,White,Failed to make playoffs,3,6,0
1983,Kansas City Chiefs,John Mackovic,White,Failed to make playoffs,6,10,0
1984,Kansas City Chiefs,John Mackovic,White,Failed to make playoffs,8,8,0
1985,Kansas City Chiefs,John Mackovic,White,Failed to make playoffs,6,10,0
1987,Kansas City Chiefs,Frank Gansz,White,Failed to make playoffs,4,11,0
1988,Kansas City Chiefs,Frank Gansz,White,Failed to make playoffs,4,11,1
1989,Kansas City Chiefs,Marty Schottenheimer,White,Failed to make playoffs,8,7,1
1996,Kansas City Chiefs,Marty Schottenheimer,White,Failed to make playoffs,9,7,0
1998,Kansas City Chiefs,Marty Schottenheimer,White,Failed to make playoffs,7,9,0
1999,Kansas City Chiefs,Gunther Cunningham,White,Failed to make playoffs,9,7,0
2000,Kansas City Chiefs,Gunther Cunningham,White,Failed to make playoffs,7,9,0
2001,Kansas City Chiefs,Dick Vermeil,White,Failed to make playoffs,6,10,0
2002,Kansas City Chiefs,Dick Vermeil,White,Failed to make playoffs,8,8,0
2004,Kansas City Chiefs,Dick Vermeil,White,Failed to make playoffs,7,9,0
2005,Kansas City Chiefs,Dick Vermeil,White,Failed to make playoffs,10,6,0
2007,Kansas City Chiefs,Herm Edwards,Non-White,Failed to make playoffs,4,12,0
2008,Kansas City Chiefs,Herm Edwards,Non-White,Failed to make playoffs,2,14,0
2009,Kansas City Chiefs,Todd Haley,White,Failed to make playoffs,4,12,0
2011,Kansas City Chiefs,Romeo Crennel,Non-White,Failed to make playoffs,7,9,0
2012,Kansas City Chiefs,Romeo Crennel,Non-White,Failed to make playoffs,2,14,0
2014,Kansas City Chiefs,Andy Reid,White,Failed to make playoffs,9,7,0
1966,Miami Dolphins,George Wilson,White,Failed to make playoffs,3,11,0
1967,Miami Dolphins,George Wilson,White,Failed to make playoffs,4,10,0
1968,Miami Dolphins,George Wilson,White,Failed to make playoffs,5,8,1
1969,Miami Dolphins,George Wilson,White,Failed to make playoffs,3,10,1
1975,Miami Dolphins,Don Shula,White,Failed to make playoffs,10,4,0
1976,Miami Dolphins,Don Shula,White,Failed to make playoffs,6,8,0
1977,Miami Dolphins,Don Shula,White,Failed to make playoffs,10,4,0
1980,Miami Dolphins,Don Shula,White,Failed to make playoffs,8,8,0
1986,Miami Dolphins,Don Shula,White,Failed to make playoffs,8,8,0
1987,Miami Dolphins,Don Shula,White,Failed to make playoffs,8,7,0
1988,Miami Dolphins,Don Shula,White,Failed to make playoffs,6,10,0
1989,Miami Dolphins,Don Shula,White,Failed to make playoffs,8,8,0
1991,Miami Dolphins,Don Shula,White,Failed to make playoffs,8,8,0
1993,Miami Dolphins,Don Shula,White,Failed to make playoffs,9,7,0
1996,Miami Dolphins,Jimmy Johnson,White,Failed to make playoffs,8,8,0
2002,Miami Dolphins,Dave Wannstedt,White,Failed to make playoffs,9,7,0
2003,Miami Dolphins,Dave Wannstedt,White,Failed to make playoffs,10,6,0
2004,Miami Dolphins,Dave Wannstedt,White,Failed to make playoffs,4,12,0
2005,Miami Dolphins,Nick Saban,White,Failed to make playoffs,9,7,0
2006,Miami Dolphins,Nick Saban,White,Failed to make playoffs,6,10,0
2007,Miami Dolphins,Cam Cameron,White,Failed to make playoffs,1,15,0
2009,Miami Dolphins,Tony Sparano,White,Failed to make playoffs,7,9,0
2010,Miami Dolphins,Tony Sparano,White,Failed to make playoffs,7,9,0
2011,Miami Dolphins,Todd Bowles,Non-White,Failed to make playoffs,6,10,0
2012,Miami Dolphins,Joe Philbin,White,Failed to make playoffs,7,9,0
2013,Miami Dolphins,Joe Philbin,White,Failed to make playoffs,8,8,0
2014,Miami Dolphins,Joe Philbin,White,Failed to make playoffs,8,8,0
2015,Miami Dolphins,Joe Philbin,White,Failed to make playoffs,6,10,0
2017,Miami Dolphins,Adam Gase,White,Failed to make playoffs,6,10,0
2018,Miami Dolphins,Adam Gase,White,Failed to make playoffs,7,9,0
2019,Miami Dolphins,Brian Flores,White,Failed to make playoffs,5,11,0
1966,Minnesota Vikings,Norm Van Brocklin,White,Failed to make playoffs,4,9,1
1967,Minnesota Vikings,Bud Grant,White,Failed to make playoffs,3,8,3
1972,Minnesota Vikings,Bud Grant,White,Failed to make playoffs,7,7,0
1979,Minnesota Vikings,Bud Grant,White,Failed to make playoffs,7,9,0
1981,Minnesota Vikings,Bud Grant,White,Failed to make playoffs,7,9,0
1983,Minnesota Vikings,Bud Grant,White,Failed to make playoffs,8,8,0
1984,Minnesota Vikings,Les Steckel,White,Failed to make playoffs,3,13,0
1985,Minnesota Vikings,Bud Grant,White,Failed to make playoffs,7,9,0
1986,Minnesota Vikings,Jerry Burns,White,Failed to make playoffs,9,7,0
1990,Minnesota Vikings,Jerry Burns,White,Failed to make playoffs,6,10,0
1991,Minnesota Vikings,Jerry Burns,White,Failed to make playoffs,8,8,0
1995,Minnesota Vikings,Dennis Green,Non-White,Failed to make playoffs,8,8,0
2001,Minnesota Vikings,Dennis Green,Non-White,Failed to make playoffs,5,11,0
2002,Minnesota Vikings,Mike Tice,White,Failed to make playoffs,6,10,0
2003,Minnesota Vikings,Mike Tice,White,Failed to make playoffs,9,7,0
2005,Minnesota Vikings,Mike Tice,White,Failed to make playoffs,9,7,0
2006,Minnesota Vikings,Brad Childress,White,Failed to make playoffs,6,10,0
2007,Minnesota Vikings,Brad Childress,White,Failed to make playoffs,8,8,0
2010,Minnesota Vikings,Brad Childress,White,Failed to make playoffs,6,10,0
2011,Minnesota Vikings,Leslie Frazier,Non-White,Failed to make playoffs,3,13,0
2013,Minnesota Vikings,Leslie Frazier,Non-White,Failed to make playoffs,5,10,1
2014,Minnesota Vikings,Mike Zimmer,White,Failed to make playoffs,7,9,0
2016,Minnesota Vikings,Mike Zimmer,White,Failed to make playoffs,8,8,0
2018,Minnesota Vikings,Mike Zimmer,White,Failed to make playoffs,8,7,1
1966,New Orleans Saints,NFL Coaches,White,Failed to make playoffs,,,
1967,New Orleans Saints,Tom Fears,White,Failed to make playoffs,3,11,0
1968,New Orleans Saints,Tom Fears,White,Failed to make playoffs,4,9,1
1969,New Orleans Saints,Tom Fears,White,Failed to make playoffs,5,9,0
1970,New Orleans Saints,Tom Fears,White,Failed to make playoffs,2,11,1
1971,New Orleans Saints,J.D. Roberts,White,Failed to make playoffs,4,8,2
1972,New Orleans Saints,J.D. Roberts,White,Failed to make playoffs,2,11,1
1973,New Orleans Saints,John North,White,Failed to make playoffs,5,9,0
1974,New Orleans Saints,John North,White,Failed to make playoffs,5,9,0
1975,New Orleans Saints,Ernie Hefferle,White,Failed to make playoffs,2,12,0
1976,New Orleans Saints,Hank Stram,White,Failed to make playoffs,4,10,0
1977,New Orleans Saints,Hank Stram,White,Failed to make playoffs,3,11,0
1978,New Orleans Saints,Dick Nolan,White,Failed to make playoffs,7,9,0
1979,New Orleans Saints,Dick Nolan,White,Failed to make playoffs,8,8,0
1980,New Orleans Saints,Dick Nolan,White,Failed to make playoffs,1,15,0
1981,New Orleans Saints,Bum Phillips,White,Failed to make playoffs,4,12,0
1982,New Orleans Saints,Bum Phillips,White,Failed to make playoffs,4,5,0
1983,New Orleans Saints,Bum Phillips,White,Failed to make playoffs,8,8,0
1984,New Orleans Saints,Bum Phillips,White,Failed to make playoffs,7,9,0
1985,New Orleans Saints,Wade Phillips,White,Failed to make playoffs,5,11,0
1986,New Orleans Saints,Jim Mora,White,Failed to make playoffs,7,9,0
1988,New Orleans Saints,Jim Mora,White,Failed to make playoffs,10,6,0
1989,New Orleans Saints,Jim Mora,White,Failed to make playoffs,9,7,0
1993,New Orleans Saints,Jim Mora,White,Failed to make playoffs,8,8,0
1994,New Orleans Saints,Jim Mora,White,Failed to make playoffs,7,9,0
1995,New Orleans Saints,Jim Mora,White,Failed to make playoffs,7,9,0
1996,New Orleans Saints,Rick Venturi,White,Failed to make playoffs,3,13,0
1997,New Orleans Saints,Mike Ditka,White,Failed to make playoffs,6,10,0
1998,New Orleans Saints,Mike Ditka,White,Failed to make playoffs,6,10,0
1999,New Orleans Saints,Mike Ditka,White,Failed to make playoffs,3,13,0
2001,New Orleans Saints,Jim Haslett,White,Failed to make playoffs,7,9,0
2002,New Orleans Saints,Jim Haslett,White,Failed to make playoffs,9,7,0
2003,New Orleans Saints,Jim Haslett,White,Failed to make playoffs,8,8,0
2004,New Orleans Saints,Jim Haslett,White,Failed to make playoffs,8,8,0
2005,New Orleans Saints,Jim Haslett,White,Failed to make playoffs,3,13,0
2007,New Orleans Saints,Sean Payton,White,Failed to make playoffs,7,9,0
2008,New Orleans Saints,Sean Payton,White,Failed to make playoffs,8,8,0
2012,New Orleans Saints,Aaron Kromer,White,Failed to make playoffs,7,9,0
2014,New Orleans Saints,Sean Payton,White,Failed to make playoffs,7,9,0
2015,New Orleans Saints,Sean Payton,White,Failed to make playoffs,7,9,0
2016,New Orleans Saints,Sean Payton,White,Failed to make playoffs,7,9,0
1966,New England Patriots,Mike Holovak,White,Failed to make playoffs,8,4,2
1967,New England Patriots,Mike Holovak,White,Failed to make playoffs,3,10,1
1968,New England Patriots,Mike Holovak,White,Failed to make playoffs,4,10,0
1969,New England Patriots,Clive Rush,White,Failed to make playoffs,4,10,0
1970,New England Patriots,John Mazur,White,Failed to make playoffs,2,12,0
1971,New England Patriots,John Mazur,White,Failed to make playoffs,6,8,0
1972,New England Patriots,Phil Bengtson,White,Failed to make playoffs,3,11,0
1973,New England Patriots,Chuck Fairbanks,White,Failed to make playoffs,5,9,0
1974,New England Patriots,Chuck Fairbanks,White,Failed to make playoffs,7,7,0
1975,New England Patriots,Chuck Fairbanks,White,Failed to make playoffs,3,11,0
1977,New England Patriots,Chuck Fairbanks,White,Failed to make playoffs,9,5,0
1979,New England Patriots,Ron Erhardt,White,Failed to make playoffs,9,7,0
1980,New England Patriots,Ron Erhardt,White,Failed to make playoffs,10,6,0
1981,New England Patriots,Ron Erhardt,White,Failed to make playoffs,2,14,0
1983,New England Patriots,Ron Meyer,White,Failed to make playoffs,8,8,0
1984,New England Patriots,Raymond Berry,White,Failed to make playoffs,9,7,0
1987,New England Patriots,Raymond Berry,White,Failed to make playoffs,8,7,0
1988,New England Patriots,Raymond Berry,White,Failed to make playoffs,9,7,0
1989,New England Patriots,Raymond Berry,White,Failed to make playoffs,5,11,0
1990,New England Patriots,Rod Rust,White,Failed to make playoffs,1,15,0
1991,New England Patriots,Dick MacPherson,White,Failed to make playoffs,6,10,0
1992,New England Patriots,Dick MacPherson,White,Failed to make playoffs,2,14,0
1993,New England Patriots,Bill Parcells,White,Failed to make playoffs,5,11,0
1995,New England Patriots,Bill Parcells,White,Failed to make playoffs,6,10,0
1999,New England Patriots,Pete Carroll,White,Failed to make playoffs,8,8,0
2000,New England Patriots,Bill Belichick,White,Failed to make playoffs,5,11,0
2002,New England Patriots,Bill Belichick,White,Failed to make playoffs,9,7,0
2008,New England Patriots,Bill Belichick,White,Failed to make playoffs,11,5,0
1966,New York Giants,Allie Sherman,White,Failed to make playoffs,1,12,1
1967,New York Giants,Allie Sherman,White,Failed to make playoffs,7,7,0
1968,New York Giants,Allie Sherman,White,Failed to make playoffs,7,7,0
1969,New York Giants,Alex Webster,White,Failed to make playoffs,6,8,0
1970,New York Giants,Alex Webster,White,Failed to make playoffs,9,5,0
1971,New York Giants,Alex Webster,White,Failed to make playoffs,4,10,0
1972,New York Giants,Alex Webster,White,Failed to make playoffs,8,6,0
1973,New York Giants,Alex Webster,White,Failed to make playoffs,2,11,1
1974,New York Giants,Bill Arnsparger,White,Failed to make playoffs,2,12,0
1975,New York Giants,Bill Arnsparger,White,Failed to make playoffs,5,9,0
1976,New York Giants,Bill Arnsparger,White,Failed to make playoffs,3,11,0
1977,New York Giants,John McVay,White,Failed to make playoffs,5,9,0
1978,New York Giants,John McVay,White,Failed to make playoffs,6,10,0
1979,New York Giants,Ray Perkins,White,Failed to make playoffs,6,10,0
1980,New York Giants,Ray Perkins,White,Failed to make playoffs,4,12,0
1982,New York Giants,Ray Perkins,White,Failed to make playoffs,4,5,0
1983,New York Giants,Bill Parcells,White,Failed to make playoffs,3,12,1
1987,New York Giants,Bill Parcells,White,Failed to make playoffs,6,9,0
1988,New York Giants,Bill Parcells,White,Failed to make playoffs,10,6,0
